api,language,knowledge_type,post_id,post,contain_knowledge
MessageDigest,Java,directive,76013607,"<p>You can use the <a href=""https://docs.oracle.com/en/java/javase/17/docs/api/java.base/java/security/DigestInputStream.html"" rel=""nofollow noreferrer""><code>DigestInputStream</code></a> to calculate a hash while reading from a stream. That is, you wrap the original input stream with a <code>DigestInputStream</code> and read through the <code>DigestInputStream</code>. While reading the data, the message digest is automatically updated, and you can retrieve the digest after you read the entire stream.</p>
<p>Alternatively, you can use <a href=""https://docs.oracle.com/en/java/javase/17/docs/api/java.base/java/security/DigestOutputStream.html"" rel=""nofollow noreferrer""><code>DigestOutputStream</code></a> to calculate a hash while writing to a stream.  In a similar vein, you wrap the destination output stream with a <code>DigestOutputStream</code> and write through the <code>DigestOutputStream</code>.</p>
<p>A quick and dirty example:</p>
<pre class=""lang-java prettyprint-override""><code>var inputFile = Path.of(&quot;D:\\Development\\data\\testdata-csv\\customers-1000.csv&quot;);
var outputFile = Files.createTempFile(&quot;testoutput&quot;, &quot;.dat&quot;);
var md = MessageDigest.getInstance(&quot;SHA-256&quot;);
try (var in = new DigestInputStream(Files.newInputStream(inputFile), md);
     var out = Files.newOutputStream(outputFile)) {
    in.transferTo(out);
} finally {
    Files.deleteIfExists(outputFile);
}

System.out.println(HexFormat.of().formatHex(md.digest()));
</code></pre>
<p>In terms of your existing code, you could do something like:</p>
<pre class=""lang-java prettyprint-override""><code>public String transferAndHash(InputStream in) throws IOException {
    try {
        var md = MessageDigest.getInstance(&quot;SHA-256&quot;);
        try (var digestIn = new DigestInputStream(in, md)) {
            transferTo(digestIn);
        }
        return HexFormat.of().formatHex(md.digest());
    } catch (NoSuchAlgorithmException e) {
        // all recent Java versions are required to support SHA-256
        throw new AssertionError(&quot;Expected SHA-256 to be supported&quot;, e);
    }
}
</code></pre>
<p>(NOTE: <code>HexFormat</code> was introduced in Java 17, if you're using an earlier version, you'll need an alternative.)</p>
",1
MessageDigest,Java,directive,77230698,"<p>You can use inner class for MessageSender:</p>
<p><strong>MessageSender.java:</strong></p>
<pre class=""lang-java prettyprint-override""><code>public class MessageSender {
  private MessagePublisher messagePublisher;
  public void setPublisher(MessagePublisher publisher) {
    this.messagePublisher = publisher;
  }
  public static void main(String[] args) {
    MessageSender messageSender = new MessageSender();
    messageSender.setPublisher(new MessagePublisher());
    messageSender.newMessage()
      .withDestination(&quot;DEST&quot;)
      .withMsg(&quot;message&quot;)
      .publish();
  }

  public MessageBuilder newMessage() {
    return new MessageBuilder();
  }

  class MessageBuilder {
    private Message message = new Message();

    public MessageBuilder withMsg(String msg) {
      message.setMsg(msg);
      return this;
    }

    public MessageBuilder withDestination(String destination) {
      message.setDestination(destination);
      return this;
    }

    public void publish() {
      messagePublisher.publish(message);
    }
  }
}
</code></pre>
<p><strong>MessagePublisher.java:</strong></p>
<pre class=""lang-java prettyprint-override""><code>public class MessagePublisher {
  public void publish(Message message) {
    System.out.println(
      String.format(
        &quot;Message to be sent: Msg=%s, Dest=%s&quot;, 
        message.getMsg(),
        message.getDestination()
      )
    );
  }
}
</code></pre>
<p><strong>Message.java:</strong></p>
<pre class=""lang-java prettyprint-override""><code>public class Message {
  private String msg;
  private String destination;

  public void setMsg(String msg) {
    this.msg = msg;
  }

  public void setDestination(String destination) {
    this.destination = destination;
  }

  public String getMsg() {return this.msg;}
  public String getDestination() {return this.destination;}
}
</code></pre>
",0
MessageDigest,Java,directive,74850838,"<p><code>HashMap.Node</code> is declared with <em>package private</em> visibility (the default visibility if <code>public</code>, <code>private</code> or <code>protected</code> is not used).</p>
<pre><code>    static class Node&lt;K,V&gt; implements Map.Entry&lt;K,V&gt; {
</code></pre>
<p>This means that the class is only visible to classes in the same package.</p>
<p>See this question for more details: <a href=""https://stackoverflow.com/questions/215497/what-is-the-difference-between-public-protected-package-private-and-private-in"">What is the difference between public, protected, package-private and private in Java?</a></p>
",0
MessageDigest,Java,directive,77067072,"<p>You can use a <a href=""https://jakarta.ee/specifications/messaging/3.0/apidocs/jakarta/jms/queuebrowser"" rel=""nofollow noreferrer""><code>QueueBrowser</code></a>. You can create the browser using <a href=""https://jakarta.ee/specifications/messaging/3.0/apidocs/jakarta/jms/session#createBrowser-jakarta.jms.Queue-"" rel=""nofollow noreferrer""><code>Session.createBrowser(Queue)</code></a>. As the <a href=""https://jakarta.ee/specifications/messaging/3.0/apidocs/jakarta/jms/queuebrowser"" rel=""nofollow noreferrer"">API doc</a> states:</p>
<blockquote>
<p>A client uses a <code>QueueBrowser</code> object to look at messages on a queue without removing them.</p>
<p>The <code>getEnumeration</code> method returns a <code>java.util.Enumeration</code> that is used to scan the queue's messages. It may be an enumeration of the entire content of a queue, or it may contain only the messages matching a message selector.</p>
</blockquote>
<p>The <code>Enumeration</code> contains instances of the <code>javax.jms.Message</code> objects from the queue. Therefore you can inspect all the message's headers, properties, and body.</p>
",0
MessageDigest,Java,directive,76798793,"<p>In Java, primitive types, including <code>boolean</code>, are passed by value, meaning they cannot be modified by other methods. Class types, including <code>List</code>, are passed by reference, which means that they can be modified by other methods. (As pointed out by @WJS, the list cannot be modified directly, only its contents, so this is sometimes called &quot;call by sharing&quot;, but it is very similar)</p>
",0
MessageDigest,Java,directive,77314202,"<p>Some classes (<code>Pac4jProducer</code> and <code>HttpServletResponseProducer</code>) are meant to use CDI and produces pac4j beans.</p>
<p>What is your application server? Can you copy/paste the full stack trace?</p>
",0
MessageDigest,Java,directive,77408737,"<p>Your current implementation is expecting a single object in the request body, but you're sending an array of objects. To process the array of JSON objects, you need to change your method signature to accept a List instead of a single DataModel. Here's how you could do it:</p>
<pre><code>@PostMapping(&quot;/addData&quot;)
public ResponseEntity addData(@RequestBody List&lt;DataModel&gt; dataModels){
    try {
        dataServicez.saveData(dataModels);
        return ResponseEntity.ok(&quot;Ok&quot;);
    } catch (Exception e){
        return ResponseEntity.badRequest().body(&quot;Ошибка&quot;);
    }
}
</code></pre>
<p>Service:</p>
<pre><code>public List&lt;DataModel&gt; saveData(List&lt;DataModel&gt; dataModels){
    List&lt;DataModel&gt; savedDataModels = new ArrayList&lt;&gt;();
    for (DataModel dataModel : dataModels) {
        DataModel _dataModel = new DataModel(dataModel.getId(), dataModel.getAmperage(), dataModel.getVoltage());
        savedDataModels.add(dataRepo.save(_dataModel));
    }
    return savedDataModels;
}
</code></pre>
",0
MessageDigest,Java,directive,77175454,"<p>Okay, I figured it out (thanks to Thomas W's comment). Courtesy of Wireshark, I found out that OkHttp was sending an <code>application/json</code> content type instead of <code>multipart/form-data</code>.</p>
<p>To fix this, I used <code>MultipartBody.Builder</code> instead of <code>FormBody.Builder</code> and specified the type like this:</p>
<pre class=""lang-java prettyprint-override""><code>RequestBody body = new MultipartBody.Builder()
        .setType(MultipartBody.FORM)
        .addFormDataPart(&quot;guild_id&quot;, String.valueOf(serverId))
        .build();
</code></pre>
<hr />
<p><em>If you're curious...</em></p>
<p>Here is OkHttp's old request:
<a href=""https://i.sstatic.net/cpUhd.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/cpUhd.png"" alt=""Image showing OkHttp's request as application/json"" /></a></p>
<p>vs Postman's:
<a href=""https://i.sstatic.net/WUFoE.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/WUFoE.png"" alt=""Image showing Postman's request as multipart/form-data"" /></a></p>
",0
MessageDigest,Java,directive,76027749,"<p>As documented, <a href=""https://docs.oracle.com/javase/7/docs/api/java/io/OutputStream.html#flush()"" rel=""nofollow noreferrer"">OutputStream.flush()</a> does nothing. You might wrap it with a <a href=""https://docs.oracle.com/javase/7/docs/api/java/io/BufferedOutputStream.html#BufferedOutputStream(java.io.OutputStream)"" rel=""nofollow noreferrer"">BufferedOutputStream</a> to percolate your request.</p>
<p>This becomes :</p>
<pre><code>OutputStream outputStream = new BufferedOutputStream(sslSocket.getOutputStream(), 1024);
String message = &quot;This is a test message&quot;;
outputStream.write(message.getBytes());
outputStream.flush();

// Send more data to server
String additionalMessage = &quot;This is an additional message&quot;;
outputStream.write(additionalMessage.getBytes());
outputStream.flush();
</code></pre>
",0
MessageDigest,Java,pattern,77012331,"<p><code>runOnUiThread</code> post a message to your main <code>Looper</code>'s <code>MessageQueue</code>, whose message is handled one by one.</p>
<p>So it's possible that <code>MessageQueue</code> is full of other message which took long time to process, which will result in long delay before your <code>Runnable</code> executed.</p>
<p>You can verify this by replace <code>runOnUiThread</code> with below code:</p>
<pre><code>// this will insert your Runnable at the front of MessageQueue
new Handler(Looper.getMainLooper()).postAtFrontOfQueue(() -&gt; {
    long delta = new Date().getTime() - start;
    Log.e(&quot;TESTUI2&quot;, &quot;&quot; + delta);
});
</code></pre>
",0
MessageDigest,Java,pattern,76013607,"<p>You can use the <a href=""https://docs.oracle.com/en/java/javase/17/docs/api/java.base/java/security/DigestInputStream.html"" rel=""nofollow noreferrer""><code>DigestInputStream</code></a> to calculate a hash while reading from a stream. That is, you wrap the original input stream with a <code>DigestInputStream</code> and read through the <code>DigestInputStream</code>. While reading the data, the message digest is automatically updated, and you can retrieve the digest after you read the entire stream.</p>
<p>Alternatively, you can use <a href=""https://docs.oracle.com/en/java/javase/17/docs/api/java.base/java/security/DigestOutputStream.html"" rel=""nofollow noreferrer""><code>DigestOutputStream</code></a> to calculate a hash while writing to a stream.  In a similar vein, you wrap the destination output stream with a <code>DigestOutputStream</code> and write through the <code>DigestOutputStream</code>.</p>
<p>A quick and dirty example:</p>
<pre class=""lang-java prettyprint-override""><code>var inputFile = Path.of(&quot;D:\\Development\\data\\testdata-csv\\customers-1000.csv&quot;);
var outputFile = Files.createTempFile(&quot;testoutput&quot;, &quot;.dat&quot;);
var md = MessageDigest.getInstance(&quot;SHA-256&quot;);
try (var in = new DigestInputStream(Files.newInputStream(inputFile), md);
     var out = Files.newOutputStream(outputFile)) {
    in.transferTo(out);
} finally {
    Files.deleteIfExists(outputFile);
}

System.out.println(HexFormat.of().formatHex(md.digest()));
</code></pre>
<p>In terms of your existing code, you could do something like:</p>
<pre class=""lang-java prettyprint-override""><code>public String transferAndHash(InputStream in) throws IOException {
    try {
        var md = MessageDigest.getInstance(&quot;SHA-256&quot;);
        try (var digestIn = new DigestInputStream(in, md)) {
            transferTo(digestIn);
        }
        return HexFormat.of().formatHex(md.digest());
    } catch (NoSuchAlgorithmException e) {
        // all recent Java versions are required to support SHA-256
        throw new AssertionError(&quot;Expected SHA-256 to be supported&quot;, e);
    }
}
</code></pre>
<p>(NOTE: <code>HexFormat</code> was introduced in Java 17, if you're using an earlier version, you'll need an alternative.)</p>
",1
